date,daily_qty
2023-01-01,519.05
2023-01-02,482.07
2023-01-03,557.91
2023-01-04,506.67999999999995
2023-01-05,516.5699999999999
2023-01-06,515.9100000000001
2023-01-07,628.04
2023-01-08,559.15
2023-01-09,503.98
2023-01-10,465.21000000000004
2023-01-11,536.39
2023-01-12,497.61
2023-01-13,513.53
2023-01-14,570.52
2023-01-15,560.9
2023-01-16,477.99
2023-01-17,435.84000000000003
2023-01-18,509.28999999999996
2023-01-19,519.16
2023-01-20,554.5
2023-01-21,614.51
2023-01-22,546.16
2023-01-23,480.4
2023-01-24,515.73
2023-01-25,477.14
2023-01-26,487.1
2023-01-27,537.89
2023-01-28,591.12
2023-01-29,550.25
2023-01-30,484.21000000000004
2023-01-31,530.89
2023-02-01,574.59
2023-02-02,502.65
2023-02-03,448.74
2023-02-04,609.19
2023-02-05,562.53
2023-02-06,524.25
2023-02-07,566.62
2023-02-08,536.28
2023-02-09,486.65999999999997
2023-02-10,569.48
2023-02-11,575.0
2023-02-12,534.64
2023-02-13,490.71
2023-02-14,513.06
2023-02-15,523.9300000000001
2023-02-16,575.28
2023-02-17,575.37
2023-02-18,647.49
2023-02-19,610.66
2023-02-20,504.57
2023-02-21,526.01
2023-02-22,563.71
2023-02-23,550.09
2023-02-24,503.97
2023-02-25,578.1800000000001
2023-02-26,571.48
2023-02-27,517.86
2023-02-28,502.75
2023-03-01,507.89
2023-03-02,513.2
2023-03-03,555.24
2023-03-04,647.01
2023-03-05,566.71
2023-03-06,515.45
2023-03-07,517.48
2023-03-08,547.78
2023-03-09,564.9
2023-03-10,528.97
2023-03-11,629.47
2023-03-12,523.55
2023-03-13,502.6
2023-03-14,498.15999999999997
2023-03-15,540.15
2023-03-16,579.91
2023-03-17,577.23
2023-03-18,560.17
2023-03-19,596.2
2023-03-20,539.4300000000001
2023-03-21,478.65999999999997
2023-03-22,581.89
2023-03-23,576.73
2023-03-24,559.0899999999999
2023-03-25,569.29
2023-03-26,653.53
2023-03-27,525.99
2023-03-28,564.83
2023-03-29,473.59999999999997
2023-03-30,532.52
2023-03-31,541.3
2023-04-01,572.19
2023-04-02,555.38
2023-04-03,502.15
2023-04-04,485.84000000000003
2023-04-05,554.71
2023-04-06,524.14
2023-04-07,497.0
2023-04-08,580.4399999999999
2023-04-09,574.55
2023-04-10,536.52
2023-04-11,551.95
2023-04-12,458.45
2023-04-13,576.79
2023-04-14,581.0699999999999
2023-04-15,634.3699999999999
2023-04-16,590.44
2023-04-17,566.54
2023-04-18,496.65
2023-04-19,569.6
2023-04-20,539.1
2023-04-21,563.04
2023-04-22,578.01
2023-04-23,598.47
2023-04-24,482.32
2023-04-25,526.4
2023-04-26,519.9000000000001
2023-04-27,533.39
2023-04-28,595.38
2023-04-29,649.3
2023-04-30,573.98
2023-05-01,558.36
2023-05-02,552.8
2023-05-03,486.1
2023-05-04,543.63
2023-05-05,548.85
2023-05-06,589.38
2023-05-07,559.65
2023-05-08,460.57
2023-05-09,541.75
2023-05-10,545.73
2023-05-11,523.11
2023-05-12,624.81
2023-05-13,639.88
2023-05-14,597.1800000000001
2023-05-15,506.01
2023-05-16,525.47
2023-05-17,519.74
2023-05-18,428.95
2023-05-19,533.69
2023-05-20,628.09
2023-05-21,591.91
2023-05-22,533.73
2023-05-23,547.14
2023-05-24,585.92
2023-05-25,524.83
2023-05-26,506.97
2023-05-27,535.36
2023-05-28,523.75
2023-05-29,515.98
2023-05-30,572.97
2023-05-31,544.5
2023-06-01,506.97
2023-06-02,512.52
2023-06-03,565.62
2023-06-04,615.88
2023-06-05,433.79
2023-06-06,484.19
2023-06-07,546.41
2023-06-08,546.09
2023-06-09,502.90999999999997
2023-06-10,544.99
2023-06-11,559.6600000000001
2023-06-12,469.34000000000003
2023-06-13,496.78999999999996
2023-06-14,480.89
2023-06-15,538.7
2023-06-16,562.22
2023-06-17,631.12
2023-06-18,527.06
2023-06-19,392.9
2023-06-20,448.97
2023-06-21,481.15999999999997
2023-06-22,552.3199999999999
2023-06-23,502.11
2023-06-24,591.65
2023-06-25,549.19
2023-06-26,427.72
2023-06-27,473.75
2023-06-28,537.3299999999999
2023-06-29,523.02
2023-06-30,527.34
2023-07-01,531.67
2023-07-02,531.57
2023-07-03,525.7
2023-07-04,493.99
2023-07-05,474.44000000000005
2023-07-06,556.9
2023-07-07,598.1
2023-07-08,543.49
2023-07-09,454.54999999999995
2023-07-10,468.52
2023-07-11,468.77
2023-07-12,476.46
2023-07-13,494.15999999999997
2023-07-14,566.63
