date,daily_qty,weekday,month,is_weekend,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7
2023-01-01,519.05,Sunday,1,1,,,,,,
2023-01-02,482.07,Monday,1,0,519.05,,,,,
2023-01-03,557.91,Tuesday,1,0,482.07,,,,,
2023-01-04,506.6799999999999,Wednesday,1,0,557.91,,,,,
2023-01-05,516.5699999999999,Thursday,1,0,506.6799999999999,,,,,
2023-01-06,515.9100000000001,Friday,1,0,516.5699999999999,,,,,
2023-01-07,628.04,Saturday,1,1,515.9100000000001,,,,,
2023-01-08,559.15,Sunday,1,1,628.04,519.05,,532.3185714285713,,47.77217126758057
2023-01-09,503.98,Monday,1,0,559.15,482.07,,538.0471428571428,,48.317072453494056
2023-01-10,465.21,Tuesday,1,0,503.98,557.91,,541.1771428571428,,44.657564388834075
2023-01-11,536.39,Wednesday,1,0,465.21,506.6799999999999,,527.9342857142857,,52.008322685618595
2023-01-12,497.61,Thursday,1,0,536.39,516.5699999999999,,532.1785714285714,,51.19057609514062
2023-01-13,513.53,Friday,1,0,497.61,515.9100000000001,,529.47,,52.63530912483242
2023-01-14,570.52,Saturday,1,1,513.53,628.04,,529.13,,52.745071491720125
2023-01-15,560.9,Sunday,1,1,570.52,559.15,519.05,520.9128571428571,526.6157142857143,36.854554994050915
2023-01-16,477.99,Monday,1,0,560.9,503.98,482.07,521.1628571428572,529.6049999999999,37.161818090743665
2023-01-17,435.84,Tuesday,1,0,477.99,465.21,557.91,517.45,529.3135714285714,40.32813781964148
2023-01-18,509.29,Wednesday,1,0,435.84,536.39,506.6799999999999,513.2542857142857,520.5942857142857,47.55014646214483
2023-01-19,519.16,Thursday,1,0,509.29,497.61,516.5699999999999,509.3828571428572,520.7807142857142,46.4428630018598
2023-01-20,554.5,Friday,1,0,519.16,513.53,515.9100000000001,512.4614285714285,520.9657142857143,46.246236397704585
2023-01-21,614.51,Saturday,1,1,554.5,570.52,628.04,518.3142857142857,523.7221428571429,48.91931174806898
2023-01-22,546.16,Sunday,1,1,614.51,560.9,559.15,524.5985714285714,522.7557142857142,58.60933868380005
2023-01-23,480.4,Monday,1,0,546.16,477.99,503.98,522.4928571428571,521.827857142857,57.33874597927818
2023-01-24,515.73,Tuesday,1,0,480.4,435.84,465.21,522.8371428571428,520.1435714285715,57.03341906703639
2023-01-25,477.14,Wednesday,1,0,515.73,509.29,536.39,534.25,523.7521428571429,42.986627377980426
2023-01-26,487.1,Thursday,1,0,477.14,519.16,497.61,529.6571428571428,519.52,47.570983703053614
2023-01-27,537.89,Friday,1,0,487.1,554.5,513.53,525.0771428571428,518.7692857142857,50.219645131590255
2023-01-28,591.12,Saturday,1,1,537.89,614.51,570.52,522.7042857142857,520.5092857142857,48.974701243649875
2023-01-29,550.25,Sunday,1,1,591.12,546.16,560.9,519.3628571428571,521.9807142857143,41.96306499541616
2023-01-30,484.21,Monday,1,0,550.25,480.4,477.99,519.9471428571429,521.22,42.42430895696698
2023-01-31,530.89,Tuesday,1,0,484.21,515.73,435.84,520.4914285714286,521.6642857142857,41.85296701094256
2023-02-01,574.59,Wednesday,2,0,530.89,477.14,509.29,522.657142857143,528.4535714285714,41.95762136342085
2023-02-02,502.65,Thursday,2,0,574.59,487.1,519.16,536.5785714285714,533.1178571428571,40.478842386515744
2023-02-03,448.74,Friday,2,0,502.65,537.89,554.5,538.8,531.9385714285714,37.63795911930761
2023-02-04,609.19,Saturday,2,1,448.74,591.12,614.51,526.0642857142857,524.3842857142856,50.78431905524343
2023-02-05,562.53,Sunday,2,1,609.19,550.25,546.16,528.6457142857143,524.0042857142857,54.93219209690644
2023-02-06,524.25,Monday,2,0,562.53,484.21,480.4,530.4,525.1735714285714,55.92425144782898
2023-02-07,566.62,Tuesday,2,0,524.25,530.89,515.73,536.12,528.3057142857143,52.34566043777335
2023-02-08,536.28,Wednesday,2,0,566.62,574.59,477.14,541.2242857142857,531.9407142857143,53.48041693216407
2023-02-09,486.66,Thursday,2,0,536.28,502.65,487.1,535.7514285714286,536.165,51.417312074362506
2023-02-10,569.48,Friday,2,0,486.66,448.74,537.89,533.4671428571429,536.1335714285714,53.44807128240949
2023-02-11,575.0,Saturday,2,1,569.48,609.19,591.12,550.7157142857143,538.39,39.10631358111847
2023-02-12,534.64,Sunday,2,1,575.0,562.53,550.25,545.8314285714285,537.2385714285714,32.09182992007551
2023-02-13,490.71,Monday,2,0,534.64,524.25,484.21,541.8471428571428,536.1235714285715,31.39691424024866
2023-02-14,513.06,Tuesday,2,0,490.71,566.62,530.89,537.0557142857143,536.5878571428572,36.649785746141795
2023-02-15,523.9300000000001,Wednesday,2,0,513.06,536.28,574.59,529.4042857142857,535.3142857142857,35.00280362920607
2023-02-16,575.28,Thursday,2,0,523.9300000000001,486.66,502.65,527.64,531.6957142857143,34.90959992132058
2023-02-17,575.37,Friday,2,0,575.28,569.48,448.74,540.3,536.8835714285714,33.61636754122422
2023-02-18,647.49,Saturday,2,1,575.37,575.0,609.19,541.1414285714285,545.9285714285714,34.52978783049578
2023-02-19,610.66,Sunday,2,1,647.49,534.64,562.53,551.4971428571429,548.6642857142857,52.546435881128374
2023-02-20,504.57,Monday,2,0,610.66,490.71,524.25,562.3571428571429,552.1021428571429,56.2098312024644
2023-02-21,526.01,Tuesday,2,0,504.57,513.06,566.62,564.3371428571429,550.6964285714286,53.44135218919467
2023-02-22,563.71,Wednesday,2,0,526.01,523.9300000000001,536.28,566.1871428571428,547.7957142857142,51.56150977692767
2023-02-23,550.09,Thursday,2,0,563.71,575.28,486.66,571.87,549.755,48.21123969919622
2023-02-24,503.97,Friday,2,0,550.09,575.37,569.48,568.2714285714286,554.2857142857142,48.85016903026778
2023-02-25,578.1800000000001,Saturday,2,1,503.97,647.49,575.0,558.0714285714286,549.6064285714285,54.2740547065145
2023-02-26,571.48,Sunday,2,1,578.1800000000001,610.66,534.64,548.17,549.8335714285714,39.57365243020511
2023-02-27,517.86,Monday,2,0,571.48,504.57,490.71,542.5728571428572,552.4649999999999,31.132790170647002
2023-02-28,502.75,Tuesday,2,0,517.86,526.01,513.06,544.4714285714286,554.4042857142857,28.742476945322434
2023-03-01,507.89,Wednesday,3,0,502.75,563.71,523.9300000000001,541.1485714285715,553.6678571428572,32.350537053023665
2023-03-02,513.2,Thursday,3,0,507.89,550.09,575.28,533.1742857142857,552.5221428571429,32.739714342646614
2023-03-03,555.24,Friday,3,0,513.2,503.97,575.37,527.9042857142857,548.0878571428572,32.53140475353158
2023-03-04,647.01,Saturday,3,1,555.24,578.1800000000001,647.49,535.2285714285715,546.65,32.01205212029349
2023-03-05,566.71,Sunday,3,1,647.01,571.48,610.66,545.0614285714286,546.6157142857144,51.836434878880226
2023-03-06,515.45,Monday,3,0,566.71,517.86,504.57,544.38,543.4764285714286,51.46125597638165
2023-03-07,517.48,Tuesday,3,0,515.45,502.75,526.01,544.0357142857143,544.2535714285715,51.675864726563645
2023-03-08,547.78,Wednesday,3,0,517.48,507.89,563.71,546.14,543.6442857142857,49.9867809192258
